customer_type,customerid,first_purchase_date,locationid,name,zipcode
B2C,119,2021-02-23,27,"Ramos, Stewart and Wheeler",INVALID_46784
B2C,120,2022-06-28,28,Griffith-Horn,57839
B2B,121,2021-06-17,29,Simmons Inc,61679
B2B,122,2023-01-22,30,Burton-Rowe,05454
B2C,123,2023-06-30,31,Park LLC,39334
B2C,124,2023-08-30,32,"Wiggins, Walker and Cole",09176
B2C,125,2022-01-19,33,"Lee, Nixon and Rowe",22868
B2B,126,2024-06-19,34,Barnes LLC,06168
B2B,127,2020-10-12,35,"Brown, Manning and Dominguez",99880
B2C,128,2020-08-15,36,"Leblanc, Duran and Evans",87789
B2B,129,2025-01-16,37,Johnson-Evans,93282
B2B,130,2021-02-19,38,Allen Inc,60321
B2B,131,2025-02-12,39,Zimmerman LLC,73650
B2B,132,2021-09-05,40,"Thompson, Davis and Bernard",77292
B2C,133,2021-02-23,41,Arias-Curtis,92433
B2C,134,2022-09-20,42,"Hogan, Smith and Adams",83003
B2C,135,2020-08-28,43,Thompson Inc,32229
B2B,136,2021-08-16,44,Oliver and Sons,85653
B2C,137,2022-02-11,45,Williams Ltd,84189
B2B,138,2021-06-20,46,Frye-Taylor,39305
B2C,139,2023-04-07,1,Trujillo-Smith,52940
B2B,140,2024-09-19,2,Guzman Group,27868
B2C,141,2021-01-26,3,Roth-Taylor,47980
B2B,142,2025-01-10,4,"Jones, Mclaughlin and Acosta",94923
B2C,143,2022-07-18,5,James Inc,13967
B2C,144,2021-09-20,6,Fisher-Hall,INVALID_50335
B2C,145,2024-09-30,7,Taylor-Hernandez,32453
B2B,146,2022-12-23,8,Smith Inc,46845
B2C,147,2023-08-27,9,Morrison Ltd,61048
B2B,148,2024-09-18,10,Burke PLC,78896
B2C,149,2023-11-24,11,"Lewis, Fowler and Smith",26308
B2B,150,2024-03-03,12,null,INVALID_94152
B2C,151,2024-11-04,13,Walker Group,60351
B2C,152,2024-01-23,14,"Peterson, Pena and Gallagher",96202
B2C,153,2022-03-01,15,"Curry, Pham and Dodson",98775
B2B,154,2022-10-27,16,"Mejia, Daugherty and Perez",48077
B2C,155,2021-04-20,17,Brown LLC,91823
B2C,156,2023-09-09,18,Conner-Gregory,INVALID_56497
B2C,157,2020-04-28,19,Lane-Oliver,14785
B2C,158,2020-11-27,20,"Jordan, Gray and Tran",06426
B2C,159,2024-10-19,21,Payne-Taylor,52621
B2B,160,2023-11-13,22,Thompson-Beard,42983
B2B,161,2024-08-10,23,"Bond, Gardner and Wilson",25119
B2B,162,2021-04-13,24,"Suarez, Butler and Wilson",95576
B2B,163,2020-05-10,25,Vasquez-Jones,33215
B2B,164,2022-07-29,26,Miller Ltd,97743
B2B,165,2021-11-18,27,Stone LLC,72917
B2C,166,2024-08-18,28,"Vaughn, Davis and Williams",41367
B2B,167,2022-02-20,29,Martinez PLC,95368
B2C,168,2021-02-04,30,Stewart LLC,76080
B2B,169,2021-02-25,31,Holmes-Salazar,20639
B2C,170,2022-06-28,32,Scott Ltd,38978
B2B,171,2024-04-09,33,"Schmidt, Cook and Baker",12620
B2B,172,2021-05-06,34,"Smith, Scott and Johnson",45729
B2B,173,2025-01-05,35,Morton-Williams,30511
B2C,174,2023-05-09,36,Harrington-Combs,30042
B2B,175,2022-01-15,37,Medina-Caldwell,50552
B2B,176,2021-04-24,38,Lopez Group,26794
B2B,177,2025-01-17,39,"Valentine, Hudson and Jones",88693
B2C,178,2024-09-13,40,"Garcia, Sandoval and Browning",96142
B2C,179,2023-10-06,41,Spears PLC,58853
B2C,180,2022-03-06,42,Jones-Rodriguez,09963
B2C,181,2022-12-01,43,Mcneil-Hall,96955
B2B,182,2022-04-27,44,Pierce-Brown,48951
B2C,183,2023-04-26,45,Patton Group,96494
B2C,184,2023-01-04,46,Morrow-Walker,95347
B2B,185,2022-05-09,1,"Francis, Jones and Lin",66187
B2B,186,2024-10-02,2,Perez PLC,81648
B2C,187,2024-12-30,3,Nelson-Bailey,53935
B2B,188,2024-12-30,4,Phelps-Herrera,37690
B2C,189,2024-05-02,5,"Benjamin, Randall and Moore",39885
B2B,190,2021-11-17,6,"Case, Cunningham and Day",43932
B2B,191,2024-01-28,7,Yoder-Young,54771
B2C,192,2020-12-13,8,"Kaufman, Rodriguez and Murphy",44224
B2C,193,2022-04-29,9,Rivera-Bond,68746
B2B,194,2021-08-22,10,"Smith, Martinez and Owens",41201
B2C,195,2023-07-15,11,"Smith, Fowler and Frazier",25522
B2C,196,2022-02-02,12,"Lewis, Harris and Jackson",59242
B2B,197,2021-01-12,13,"Jones, Lopez and Stewart",51595
B2C,198,2021-07-17,14,Smith Inc,INVALID_77409
B2C,199,2022-05-12,15,Jones Ltd,88637
B2B,200,2023-06-24,16,Green-Smith,89294
B2B,201,2021-02-16,17,"Larsen, Beasley and Goodwin",22341
B2C,202,2023-11-09,18,Jones PLC,92340
B2C,203,2020-12-13,19,Mccarthy-Martin,30689
B2B,204,2024-12-23,20,Baker Inc,18155
B2B,205,2023-02-02,21,Schultz PLC,81364
B2C,206,2024-01-17,22,Parks-Wilson,42595
B2B,207,2023-06-10,23,"Bell, Gregory and Ramirez",58134
B2C,208,2023-12-13,24,Lee LLC,74047
B2B,209,2024-08-15,25,Cooper-Gutierrez,52458
B2B,210,2024-08-20,26,Washington PLC,50481
B2C,211,2022-12-12,27,Downs LLC,29923
B2C,212,2021-11-08,28,null,43542
B2B,213,2024-09-21,29,"Brennan, Payne and Johnson",96959
B2B,214,2022-10-27,30,Dennis Group,35716
B2B,215,2021-08-22,31,Shields and Sons,99750
B2C,216,2020-11-10,32,"Gomez, Myers and Thomas",30513
B2B,217,2023-12-24,33,Dudley Inc,52649
B2C,218,2023-07-30,34,Black Ltd,12451
B2C,219,2025-01-16,35,"Kelly, Raymond and Lam",44517
B2C,220,2021-04-16,36,"Clark, Wilson and Olsen",73995
B2B,221,2021-09-22,37,"Austin, Johns and Blair",73082
B2B,222,2022-12-23,38,Schneider Group,84056
B2B,223,2022-09-10,39,"Walker, Woods and Daniels",INVALID_58985
B2B,224,2023-03-28,40,Brown-Jackson,32627
B2B,225,2022-03-28,41,Graham Inc,31419
B2C,226,2023-05-29,42,"Baker, Nelson and Simon",26668
B2C,227,2025-01-05,43,Contreras-Torres,03127
B2C,228,2020-08-09,44,Wood-Coleman,68209
B2B,229,2024-10-23,45,"Wang, Griffin and Williams",77485
B2B,230,2023-02-17,46,Davidson-Johnson,INVALID_13426
B2B,231,2020-11-27,1,Arnold Inc,61020
B2B,232,2023-07-12,2,"Winters, Wright and Jenkins",23521
B2C,233,2025-01-03,3,Armstrong LLC,18316
B2B,234,2024-03-01,4,Spence Ltd,64408
B2B,235,2024-05-11,5,Gonzalez and Sons,INVALID_38741
B2B,236,2025-03-16,6,"Hernandez, Harvey and Carrillo",90994
B2B,237,2023-05-29,7,Rodriguez Ltd,34404
B2C,238,2024-10-13,8,Huang PLC,13491
B2C,239,2021-11-20,9,null,68362
B2B,240,2021-05-28,10,Villa Ltd,61061
B2B,241,2023-06-01,11,West and Sons,12335
B2C,242,2020-05-25,12,Mayer LLC,49241
B2C,243,2023-08-21,13,Evans LLC,79182
B2C,244,2021-12-26,14,Sanchez-Hall,57561
B2C,245,2020-12-07,15,Hamilton-Murphy,74683
B2B,246,2021-03-29,16,Ramirez-Mack,69782
B2B,247,2020-06-28,17,"Gomez, Moore and Ward",70376
B2B,248,2022-08-29,18,Ford-Campbell,77628
B2C,249,2023-06-11,19,"Cole, Schmidt and Banks",57092
B2B,250,2020-06-03,20,Pearson Ltd,13202
B2B,251,2021-02-24,21,Jones-Ortiz,INVALID_73106
B2C,252,2020-07-12,22,"Hamilton, Mcgrath and Casey",29314
B2C,253,2024-04-03,23,"Johnson, Dunlap and Gutierrez",13332
B2B,254,2021-12-02,24,Nguyen Ltd,43979
B2B,255,2023-06-25,25,Schneider-Adkins,73093
B2B,256,2023-05-08,26,"Yang, Kline and Obrien",05875
B2B,257,2024-08-22,27,Velasquez-Anderson,39496
B2C,258,2022-09-20,28,Wilcox Ltd,17320
B2B,259,2024-09-02,29,Hunter LLC,97602
B2B,260,2024-01-19,30,"Reed, Harrison and Spencer",87112
B2C,261,2023-10-27,31,"Fox, Miller and Adkins",01770
B2C,262,2020-06-08,32,Hunt PLC,46327
B2B,263,2023-03-05,33,Strickland Inc,57930
B2B,264,2023-04-23,34,"Campbell, Contreras and May",28588
B2C,265,2021-01-28,35,"Page, Shelton and Smith",66631
B2C,266,2021-11-09,36,Sutton-Hayes,58015
B2B,267,2021-07-19,37,Mckee and Sons,55774
B2C,268,2023-04-26,38,Johnson and Sons,90338
B2C,269,2023-12-14,39,Anderson-Webb,60094
B2B,270,2023-09-18,40,"Bradley, Edwards and Bell",60521
B2C,271,2023-11-11,41,"Diaz, Mclaughlin and Knapp",73906
B2C,272,2020-06-28,42,Christian-Smith,08101
B2C,273,2020-10-04,43,Ray-Craig,48028
B2B,274,2021-04-19,44,"Parker, Hoffman and Le",65403
B2C,275,2024-01-11,45,Orozco Inc,90178
B2B,276,2022-08-13,46,Valenzuela-Nicholson,81484
B2C,277,2022-05-01,1,Goodman Inc,66653
B2B,278,2022-05-16,2,Giles-Kelley,25259
B2C,279,2023-03-10,3,Holder-Martin,40276
B2C,280,2025-04-06,4,Smith Group,20029
B2C,281,2024-06-29,5,"Velazquez, Gamble and Holt",22342
B2B,282,2021-10-01,6,"Wilson, Cowan and Gonzalez",95499
B2B,283,2022-12-16,7,"Williams, Nelson and Hall",52640
B2C,284,2021-11-03,8,Chapman Group,63054
B2B,285,2021-07-10,9,Jones Group,48682
B2C,286,2022-05-27,10,Bartlett Ltd,47577
B2C,287,2022-11-22,11,Patton Ltd,15879
B2B,288,2024-07-23,12,Jennings Group,47138
B2B,289,2021-03-08,13,Spencer-Sims,84645
B2B,290,2022-01-02,14,Morales-Holmes,71896
B2B,291,2022-12-31,15,Johnson-Parker,55554
B2B,292,2020-07-19,16,Jimenez-Marquez,18448
B2C,293,2021-09-22,17,Mckee Ltd,92992
B2B,294,2023-09-11,18,Wallace PLC,26434
B2B,295,2021-06-13,19,Cervantes Inc,40518
B2C,296,2023-02-06,20,Mooney Ltd,35110
B2C,297,2025-03-21,21,"Alvarado, Oconnor and Johnson",47911
B2B,298,2023-11-08,22,Peters Group,78603
B2C,299,2020-05-24,23,"Pearson, Beck and Myers",30543
B2C,300,2023-02-18,24,Bell and Sons,95929
B2B,301,2024-01-05,25,"Washington, Rubio and Jones",01009
B2B,302,2021-10-17,26,Morgan Inc,68972
B2B,303,2023-09-17,27,Valencia Ltd,62556
B2C,304,2021-01-01,28,null,INVALID_23929
B2B,305,2024-10-09,29,Grant-Williams,79918
B2C,306,2024-03-05,30,Cooke-Montgomery,85119
B2B,307,2024-02-20,31,Walker-Greer,06582
B2C,308,2021-12-29,32,Reese-Fry,69220
B2C,309,2022-03-24,33,Rivas Ltd,10298
B2B,310,2021-09-29,34,Johnson and Sons,54236
B2B,311,2021-10-13,35,Hart Inc,53689
B2C,312,2024-09-27,36,Glass PLC,63874
B2C,313,2024-11-01,37,null,08531
B2C,314,2021-06-21,38,null,INVALID_18762
B2B,315,2021-12-10,39,Copeland Ltd,83800
B2C,316,2022-07-15,40,"Watts, Butler and Paul",11047
B2B,317,2024-10-04,41,Green Inc,14267
B2C,318,2025-04-13,42,"Espinoza, Castaneda and Morris",04536
B2B,319,2020-09-14,43,"Allen, Martin and Grant",59148
B2C,320,2025-03-18,44,Nichols Ltd,10692
B2B,321,2020-12-01,45,Mack Ltd,66145
B2B,322,2020-09-13,46,Wilkerson-Brock,73163
B2B,323,2020-05-30,1,Zhang-Martinez,16240
B2C,324,2020-10-31,2,Phillips Group,53023
B2C,325,2021-10-23,3,null,18220
B2C,326,2021-02-22,4,Owens-Mayer,44864
B2C,327,2020-05-14,5,Doyle-Shaw,97232
B2C,328,2020-07-02,6,"Bell, Williams and Patel",38188
B2C,329,2022-03-22,7,"Gutierrez, Lynch and Curtis",49723
B2C,330,2024-06-22,8,Spence Inc,91181
B2B,331,2021-06-12,9,Roth Ltd,73557
B2C,332,2021-08-11,10,Farmer PLC,46959
B2B,333,2023-03-14,11,Bird-Mayer,INVALID_64213
B2C,334,2024-04-11,12,Williamson and Sons,46376
B2B,335,2021-11-22,13,"York, Francis and Gonzalez",60604
B2C,336,2025-03-20,14,Martin-Sims,69275
B2B,337,2023-03-29,15,Alvarado LLC,00653
B2B,338,2020-08-03,16,Yang-Moore,06291
B2B,339,2021-02-25,17,"Velasquez, Williams and Smith",69895
B2C,340,2024-12-04,18,null,79601
B2B,341,2021-05-18,19,Jacobs-Smith,66579
B2B,342,2023-10-01,20,Mendez-Madden,79956
B2C,343,2024-12-05,21,Evans-Bruce,INVALID_68076
B2B,344,2022-07-30,22,Sparks PLC,20967
B2B,345,2020-08-22,23,Gonzalez Inc,83058
B2B,346,2022-06-28,24,Sanchez-Moore,06333
B2B,347,2023-01-10,25,"Jones, Johnson and Faulkner",52046
B2C,348,2024-05-12,26,"Smith, Singh and Fletcher",99598
B2C,349,2024-01-27,27,Simmons PLC,91676
B2C,350,2022-06-28,28,Robertson-Turner,97471
B2C,351,2023-03-18,29,"Trujillo, Cabrera and Newman",52566
B2B,352,2025-04-01,30,Smith-Hanson,14355
B2B,353,2023-07-10,31,Barnes Ltd,80396
B2B,354,2023-01-07,32,"Obrien, Berry and Harrell",77480
B2B,355,2024-04-25,33,Kennedy-Vega,77029
B2C,356,2024-01-03,34,Morris and Sons,INVALID_47277
B2C,357,2024-05-12,35,"Guzman, Rhodes and Parker",76781
B2C,358,2023-05-21,36,Fisher LLC,INVALID_33022
B2C,359,2022-07-01,37,Wilson Ltd,INVALID_27124
B2C,360,2024-12-08,38,Smith Group,93079
B2B,361,2021-08-20,39,Owen LLC,78551
B2C,362,2020-07-06,40,Oliver-Dunlap,42984
B2B,363,2022-05-22,41,Webb-Green,61740
B2C,364,2021-10-04,42,Schultz-Acosta,40845
B2C,365,2025-01-09,43,"Perry, Green and Boyd",16373
B2B,366,2021-01-06,44,"Mcpherson, Griffin and Smith",19293
B2C,367,2021-03-24,45,Gonzales-Gonzalez,92336
B2C,368,2024-02-02,46,"Thompson, Morrison and Howe",75131
B2C,369,2025-03-11,1,Robinson-Robinson,57077
B2B,370,2022-12-27,2,Graves-Johnson,09660
B2C,371,2021-08-03,3,Cantrell-Gamble,97582
B2B,372,2022-06-20,4,James Inc,79262
B2C,373,2021-11-20,5,Hayden-Rodriguez,38999
B2B,374,2022-07-10,6,Harris-Watson,58797
B2C,375,2021-03-08,7,White Inc,16680
B2C,376,2025-02-25,8,Gomez PLC,01009
B2C,377,2022-04-24,9,Davis Inc,32696
B2B,378,2022-06-21,10,Gonzales-Duran,62647
B2B,379,2020-08-15,11,Robles-Stevens,14155
B2C,380,2021-11-23,12,Jackson LLC,56737
B2C,381,2022-07-19,13,"Moreno, Adams and Shelton",93698
B2B,382,2024-06-19,14,Bennett-Williams,21713
B2B,383,2020-06-08,15,"Howell, Robinson and Anderson",INVALID_15856
B2B,384,2021-04-18,16,"Martinez, Hernandez and Wood",61541
B2B,385,2021-12-15,17,"Mejia, Garcia and Baker",24984
B2C,386,2025-01-10,18,Hodges-Washington,90017
B2B,387,2024-12-09,19,"Harris, Johnson and Edwards",69354
B2C,388,2025-01-13,20,"Fields, Gonzalez and Pearson",11240
B2B,389,2022-12-01,21,Robinson-Webb,13797
B2C,390,2024-05-26,22,Pruitt Ltd,23627
B2B,391,2023-02-28,23,Phelps LLC,19673
B2C,392,2021-08-17,24,"Riggs, Carter and Soto",29681
B2C,393,2021-08-04,25,Mcdonald-Jennings,30192
B2B,394,2022-10-25,26,"Wilkins, Wall and Vargas",82290
B2C,395,2021-05-18,27,Henderson Ltd,05818
B2B,396,2023-06-23,28,Graves-Kim,01355
B2C,397,2020-09-28,29,"Mullins, Armstrong and Smith",25401
B2B,398,2023-01-01,30,Adams PLC,48392
B2C,399,2023-03-08,31,Holmes LLC,02262
B2B,400,2021-01-03,32,"Harris, Kennedy and Smith",37537
B2C,401,2021-08-10,33,Hutchinson-Moreno,62589
B2C,402,2020-09-27,34,"Stewart, Whitney and Anthony",15573
B2C,403,2024-04-10,35,"Mendoza, Johnson and Patrick",51567
B2C,404,2020-10-15,36,White LLC,99223
B2C,405,2021-01-12,37,Wilson-Baird,57830
B2B,406,2020-10-16,38,Diaz-Anderson,15843
B2C,407,2024-12-08,39,Jackson-Jackson,95580
B2B,408,2021-05-25,40,"Ali, Tapia and Nunez",38519
B2B,409,2024-08-17,41,Goodwin-Harris,54996
B2B,410,2022-03-24,42,Carlson-Kelly,79620
B2B,411,2023-10-06,43,Mason Ltd,07496
B2B,412,2024-11-23,44,Leon-Johnson,87982
B2C,413,2022-04-25,45,"Burch, Barrett and Walker",53911
B2C,414,2023-06-03,46,Hernandez-Fields,43509
B2B,415,2023-04-17,1,Kelly-Thompson,62896
B2B,416,2022-12-14,2,Martin-Payne,46867
B2B,417,2022-05-01,3,"Bernard, Smith and Castro",23175
B2C,418,2025-01-18,4,"Sullivan, Case and Neal",58000
B2B,419,2025-01-08,5,"Wright, Rodriguez and Brown",39251
B2C,420,2021-07-18,6,null,35520
B2B,421,2022-04-24,7,Adams LLC,47456
B2C,422,2021-02-18,8,Fowler-Scott,59889
B2C,423,2022-08-14,9,Monroe Inc,18554
B2B,424,2024-05-25,10,Thompson-Martin,05314
B2B,425,2020-11-25,11,Nelson-Rodriguez,54417
B2C,426,2022-11-28,12,Ellison LLC,26157
B2C,427,2022-12-25,13,Choi-Jackson,16067
B2C,428,2022-12-25,14,Brooks LLC,09583
B2C,429,2020-12-01,15,Bell Group,90084
B2C,430,2022-07-06,16,Reeves-Hale,41353
B2C,431,2023-04-25,17,May Inc,53117
B2B,432,2020-12-01,18,"Peterson, Medina and Taylor",14097
B2B,433,2020-11-02,19,Richards-Mullins,07257
B2C,434,2024-02-29,20,Santiago Ltd,47700
B2B,435,2021-02-07,21,"Brown, Henry and Wagner",93626
B2B,436,2021-11-09,22,Ramsey-Daniels,76562
B2B,437,2023-08-07,23,Brown Ltd,77763
B2B,438,2024-09-27,24,Lee-Foster,62444
B2B,439,2022-07-29,25,Cook LLC,79821
B2B,440,2024-01-15,26,Potts PLC,76092
B2C,441,2023-08-02,27,Howe Inc,31104
B2C,442,2023-08-08,28,Cobb-Gomez,03145
B2C,443,2021-11-12,29,Becker PLC,95936
B2C,444,2021-09-13,30,Long and Sons,59039
B2B,445,2021-09-13,31,Benjamin-Taylor,51697
B2C,446,2024-11-27,32,Galloway Inc,37600
B2C,447,2023-08-12,33,"Livingston, Barrera and Coleman",43174
B2B,448,2022-02-11,34,"Martinez, Long and Medina",11055
B2B,449,2020-08-26,35,"Wilson, Wright and Meyer",12560
B2C,450,2021-01-14,36,"Jones, Baker and Garcia",64979
B2C,451,2020-09-29,37,"Howard, Price and Miller",32501
B2B,452,2022-11-12,38,"Butler, Mccoy and Torres",94862
B2B,453,2022-05-30,39,Carpenter-White,49949
B2B,454,2024-11-14,40,"Herrera, Lang and Campbell",44606
B2C,455,2024-09-07,41,"Perez, Ruiz and Ray",65291
B2B,456,2022-02-01,42,"Alexander, Johnson and Chandler",50872
B2C,457,2023-03-15,43,"Hansen, Hodges and Herrera",59246
B2C,458,2021-12-28,44,"Lyons, Sutton and Butler",62101
B2B,459,2023-12-26,45,"Nguyen, Brooks and Flowers",83054
B2B,460,2021-08-11,46,"Melendez, Murphy and Santos",48050
B2B,461,2020-11-26,1,"Johnson, Bradley and Hawkins",57381
B2C,462,2021-01-23,2,Schmidt-Hernandez,78937
B2C,463,2023-06-20,3,Lane-Ferguson,06384
B2B,464,2020-10-30,4,"Robinson, Lopez and Bennett",69136
B2B,465,2023-11-14,5,"Kelley, Ruiz and Sparks",45756
B2C,466,2021-12-31,6,Wilson-Davis,63324
B2B,467,2023-12-13,7,"Ortiz, Jordan and Shah",INVALID_27457
B2C,468,2021-11-28,8,Archer LLC,67853
B2C,469,2021-07-28,9,"Greene, Huynh and Bright",23241
B2B,470,2022-02-10,10,Kaufman-Robinson,00737
B2C,471,2024-07-14,11,Blake Inc,36306
B2C,472,2020-10-07,12,Ortiz Group,55580
B2C,473,2023-09-25,13,Shepherd-Robinson,62945
B2C,474,2022-03-24,14,"Moreno, Thompson and Bennett",12276
B2C,475,2023-12-03,15,Peterson Group,45501
B2C,476,2020-06-30,16,null,24246
B2B,477,2021-05-20,17,Martinez PLC,INVALID_34168
B2C,478,2020-08-12,18,"Martinez, Martin and King",49683
B2B,479,2024-05-04,19,Adams-Ball,02944
B2B,480,2021-10-29,20,Williams-Steele,41623
B2B,481,2024-11-20,21,Walker LLC,42728
B2B,482,2020-07-16,22,Adkins-Phillips,05374
B2C,483,2023-12-06,23,"Clements, Peterson and Anderson",24583
